quarter,time,score,side,action,ev_class,raw_text
רבע 4,02:10,72-73,away,77. דווייט וילסון אסיסט,odd quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:10 72-73 77. דווייט וילסון אסיסט
רבע 4,06:41,66-65,home,15. יונתן קלר אסיסט,even quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר אסיסט רבע 4 06:41 66-65
רבע 4,09:20,61-60,away,9. עמית ראובן אסיסט,odd quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 09:20 61-60 9. עמית ראובן אסיסט
רבע 3,02:18,52-59,home,7. גל שטרנברג אסיסט,even quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 3 02:18 52-59
רבע 3,04:15,42-53,home,16. אוהד דקל שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל שחקן נכנס למשחק רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,5. קינדל היל שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל שחקן יוצא מהמגרש רבע 3 04:15 42-53
רבע 2,04:43,34-34,home,6. ים שפריר אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר אסיסט רבע 2 04:43 34-34
רבע 1,00:03,22-22,home,6. ים שפריר החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר החטיא 3 נק׳ (jumpshot) רבע 1 00:03 22-22
רבע 1,01:35,16-20,away,21. נועם יעקובי אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:35 16-20 21. נועם יעקובי אסיסט
רבע 1,04:06,10-11,home,6. ים שפריר שחקן נכנס למשחק,even quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן נכנס למשחק רבע 1 04:06 10-11
רבע 1,04:06,10-11,home,1. איתם כהן שחקן יוצא מהמגרש,odd quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן שחקן יוצא מהמגרש רבע 1 04:06 10-11
רבע 1,08:36,2-2,home,33. עילי שאול אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 1 08:36 2-2
רבע 4,03:41,66-69,home,6. ים שפריר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר סחט עבירה רבע 4 03:41 66-69
רבע 4,03:41,66-69,away,21. נועם יעקובי עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:41 66-69 21. נועם יעקובי עבירה אישית (personal)
רבע 4,02:55,69-71,home,6. ים שפריר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר סחט עבירה רבע 4 02:55 69-71
רבע 4,02:55,69-71,away,6. אמרי שביט עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:55 69-71 6. אמרי שביט עבירה אישית (personal)
רבע 4,03:15,69-71,away,3. רוברט טרנר קליעה 3 נק׳ (jumpshot),even quarter-4 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:15 69-71 3. רוברט טרנר קליעה 3 נק׳ (jumpshot)
רבע 3,00:39,57-60,home,6. ים שפריר איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר איבוד כדור רבע 3 00:39 57-60
רבע 3,00:39,57-60,home,6. ים שפריר חטיפה,even quarter-3 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר חטיפה רבע 3 00:39 57-60
רבע 3,00:39,57-60,away,21. נועם יעקובי איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 00:39 57-60 21. נועם יעקובי איבוד כדור
רבע 3,00:50,57-60,away,21. נועם יעקובי אסיסט,even quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 00:50 57-60 21. נועם יעקובי אסיסט
רבע 3,01:16,54-60,away,3. רוברט טרנר ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 01:16 54-60 3. רוברט טרנר ריבאונד הגנה
רבע 3,01:16,54-60,home,15. יונתן קלר החטיא 3 נק׳ (jumpshot),even quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר החטיא 3 נק׳ (jumpshot) רבע 3 01:16 54-60
רבע 3,01:16,54-60,home,6. ים שפריר ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד הגנה רבע 3 01:16 54-60
רבע 3,01:16,54-60,away,77. דווייט וילסון החטיא 2 נק׳ (layup),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 01:16 54-60 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 4,00:01,80-83,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:01 80-83 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 4,00:04,80-83,away,9. עמית ראובן ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן ריבאונד התקפה
רבע 4,00:04,80-83,away,9. עמית ראובן זריקת עונשין (2of2),even quarter-4 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן זריקת עונשין (2of2)
רבע 4,00:04,80-83,away,9. עמית ראובן קליעת עונשין (1of2),odd quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן קליעת עונשין (1of2)
רבע 4,00:04,79-83,away,6. אמרי שביט שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 79-83 6. אמרי שביט שחקן נכנס למשחק
