SIDE,JERSEY,QUARTER,ON_FROM,OFF_AT,DURATION
B(opp),32,1,10:00,05:24,04:36
B(opp),77,1,10:00,04:54,05:06
A(ours),1,1,10:00,04:06,05:54
B(opp),9,1,10:00,03:12,06:48
A(ours),9,1,10:00,03:12,06:48
B(opp),6,1,10:00,02:16,07:44
A(ours),5,1,10:00,02:16,07:44
A(ours),33,1,10:00,01:50,08:10
A(ours),7,1,10:00,01:50,08:10
B(opp),3,1,10:00,00:36,09:24
A(ours),6,1,04:06,00:00,04:06
A(ours),15,1,01:50,00:00,01:50
A(ours),16,1,02:16,00:00,02:16
A(ours),18,1,01:50,00:00,01:50
A(ours),23,1,03:12,00:00,03:12
B(opp),4,1,05:24,00:00,05:24
B(opp),6,1,00:36,00:00,00:36
B(opp),7,1,04:54,00:00,04:54
B(opp),11,1,02:16,00:00,02:16
B(opp),21,1,03:12,00:00,03:12
B(opp),21,2,10:00,10:00,00:00
A(ours),18,2,10:00,10:00,00:00
B(opp),7,2,10:00,09:19,00:41
B(opp),4,2,10:00,09:19,00:41
B(opp),11,2,10:00,07:35,02:25
A(ours),23,2,10:00,07:21,02:39
A(ours),16,2,10:00,06:37,03:23
A(ours),15,2,10:00,06:37,03:23
B(opp),32,2,07:35,04:13,03:22
A(ours),6,2,10:00,04:13,05:47
B(opp),9,2,09:19,03:31,05:48
B(opp),6,2,10:00,03:14,06:46
B(opp),3,2,10:00,02:49,07:11
B(opp),21,2,03:31,02:02,01:29
B(opp),4,2,04:13,01:46,02:27
B(opp),3,2,02:02,00:54,01:08
A(ours),1,2,04:13,00:54,03:19
A(ours),33,2,06:37,00:00,06:37
A(ours),5,2,10:00,00:00,10:00
A(ours),6,2,00:54,00:00,00:54
A(ours),7,2,06:37,00:00,06:37
A(ours),9,2,07:21,00:00,07:21
B(opp),4,2,00:54,00:00,00:54
B(opp),7,2,03:14,00:00,03:14
B(opp),9,2,01:46,00:00,01:46
B(opp),11,2,02:49,00:00,02:49
B(opp),77,2,09:19,00:00,09:19
B(opp),11,3,10:00,10:00,00:00
B(opp),4,3,10:00,10:00,00:00
A(ours),6,3,10:00,10:00,00:00
B(opp),9,3,10:00,08:08,01:52
B(opp),7,3,10:00,06:43,03:17
A(ours),5,3,10:00,04:15,05:45
B(opp),6,3,10:00,04:15,05:45
A(ours),23,3,10:00,04:15,05:45
A(ours),33,3,10:00,03:10,06:50
A(ours),9,3,10:00,01:08,08:52
A(ours),7,3,10:00,01:08,08:52
A(ours),16,3,04:15,00:00,04:15
A(ours),1,3,01:08,00:00,01:08
A(ours),5,3,01:08,00:00,01:08
A(ours),6,3,04:15,00:00,04:15
A(ours),15,3,03:10,00:00,03:10
B(opp),32,3,06:43,00:00,06:43
B(opp),3,3,10:00,00:00,10:00
B(opp),9,3,04:15,00:00,04:15
B(opp),77,3,10:00,00:00,10:00
B(opp),21,3,08:08,00:00,08:08
A(ours),1,4,10:00,10:00,00:00
A(ours),16,4,10:00,07:44,02:16
A(ours),15,4,10:00,06:41,03:19
B(opp),32,4,10:00,06:26,03:34
B(opp),77,4,10:00,04:36,05:24
B(opp),21,4,10:00,03:41,06:19
A(ours),33,4,10:00,02:50,07:10
B(opp),32,4,04:36,01:15,03:21
A(ours),23,4,02:50,01:15,01:35
B(opp),77,4,03:41,00:10,03:31
B(opp),6,4,06:26,00:07,06:19
B(opp),11,4,01:15,00:07,01:08
B(opp),4,4,00:10,00:04,00:06
A(ours),33,4,01:15,00:00,01:15
A(ours),5,4,10:00,00:00,10:00
A(ours),6,4,10:00,00:00,10:00
A(ours),7,4,06:41,00:00,06:41
A(ours),9,4,07:44,00:00,07:44
B(opp),32,4,00:07,00:00,00:07
B(opp),3,4,10:00,00:00,10:00
B(opp),6,4,00:04,00:00,00:04
B(opp),9,4,10:00,00:00,10:00
B(opp),77,4,00:07,00:00,00:07
