QUARTER,TIME_CLOCK,SCORE,DIFF_TOTAL,TIME_PLAYED_SINCE_LAST,DIFF_SINCE_LAST,SUB_SIDE,SUB_TYPE,JERSEY,PLAYER_NAME,A1_BEFORE,A2_BEFORE,A3_BEFORE,A4_BEFORE,A5_BEFORE,B1_BEFORE,B2_BEFORE,B3_BEFORE,B4_BEFORE,B5_BEFORE,A1_AFTER,A2_AFTER,A3_AFTER,A4_AFTER,A5_AFTER,B1_AFTER,B2_AFTER,B3_AFTER,B4_AFTER,B5_AFTER
1,05:24,7-11,-4,04:36,-4,B(opp),IN,4,שחר שלמון,1,5,7,9,33,3,6,9,32,77,1,5,7,9,33,3,4,6,9,32
1,05:24,7-11,-4,04:36,-4,B(opp),OUT,32,בן גולד,1,5,7,9,33,3,6,9,32,77,1,5,7,9,33,3,4,6,9,77
1,04:54,7-11,-4,00:30,0,B(opp),IN,7,רביב פיטשון,1,5,7,9,33,3,4,6,9,77,1,5,7,9,33,3,4,6,7,9
1,04:54,7-11,-4,00:30,0,B(opp),OUT,77,דווייט וילסון,1,5,7,9,33,3,4,6,9,77,1,5,7,9,33,3,4,6,7,9
1,04:06,10-11,-1,00:48,3,A(ours),IN,6,ים שפריר,1,5,7,9,33,3,4,6,7,9,1,5,6,7,9,3,4,6,7,9
1,04:06,10-11,-1,00:48,3,A(ours),OUT,1,איתם כהן,1,5,7,9,33,3,4,6,7,9,5,6,7,9,33,3,4,6,7,9
1,03:12,13-15,-2,00:54,-1,B(opp),IN,21,נועם יעקובי,5,6,7,9,33,3,4,6,7,9,5,6,7,9,33,3,4,6,7,9
1,03:12,13-15,-2,00:54,-1,B(opp),OUT,9,עמית ראובן,5,6,7,9,33,3,4,6,7,9,5,6,7,9,33,3,4,6,7,21
1,03:12,13-15,-2,00:54,-1,A(ours),IN,23,נבו זומרפלד,5,6,7,9,33,3,4,6,7,9,5,6,7,9,23,3,4,6,7,21
1,03:12,13-15,-2,00:54,-1,A(ours),OUT,9,עמרי שלף,5,6,7,9,33,3,4,6,7,9,5,6,7,23,33,3,4,6,7,21
1,02:16,13-20,-7,00:56,-5,B(opp),IN,11,בר שינבוים,5,6,7,23,33,3,4,6,7,21,5,6,7,23,33,3,4,6,7,11
1,02:16,13-20,-7,00:56,-5,B(opp),OUT,6,אמרי שביט,5,6,7,23,33,3,4,6,7,21,5,6,7,23,33,3,4,7,11,21
1,02:16,13-20,-7,00:56,-5,A(ours),IN,16,אוהד דקל,5,6,7,23,33,3,4,6,7,21,5,6,7,16,23,3,4,7,11,21
1,02:16,13-20,-7,00:56,-5,A(ours),OUT,5,קינדל היל,5,6,7,23,33,3,4,6,7,21,6,7,16,23,33,3,4,7,11,21
1,01:50,13-20,-7,00:26,0,A(ours),IN,18,ליעד משען,6,7,16,23,33,3,4,7,11,21,6,7,16,18,23,3,4,7,11,21
1,01:50,13-20,-7,00:26,0,A(ours),IN,15,יונתן קלר,6,7,16,23,33,3,4,7,11,21,6,7,15,16,18,3,4,7,11,21
1,01:50,13-20,-7,00:26,0,A(ours),OUT,33,עילי שאול,6,7,16,23,33,3,4,7,11,21,6,7,15,16,18,3,4,7,11,21
1,01:50,13-20,-7,00:26,0,A(ours),OUT,7,גל שטרנברג,6,7,16,23,33,3,4,7,11,21,6,15,16,18,23,3,4,7,11,21
1,00:36,21-20,1,01:14,8,B(opp),IN,6,אמרי שביט,6,15,16,18,23,3,4,7,11,21,6,15,16,18,23,3,4,6,7,11
1,00:36,21-20,1,01:14,8,B(opp),OUT,3,רוברט טרנר,6,15,16,18,23,3,4,7,11,21,6,15,16,18,23,4,6,7,11,21
2,10:00,22-22,0,00:00,0,B(opp),IN,3,רוברט טרנר,6,15,16,18,23,4,6,7,11,21,6,15,16,18,23,3,4,6,7,11
2,10:00,22-22,0,00:00,0,B(opp),OUT,21,נועם יעקובי,6,15,16,18,23,4,6,7,11,21,6,15,16,18,23,3,4,6,7,11
2,10:00,22-22,0,00:00,0,A(ours),IN,5,קינדל היל,6,15,16,18,23,4,6,7,11,21,5,6,15,16,18,3,4,6,7,11
2,10:00,22-22,0,00:00,0,A(ours),OUT,18,ליעד משען,6,15,16,18,23,4,6,7,11,21,5,6,15,16,23,3,4,6,7,11
2,09:19,22-25,-3,00:41,-3,B(opp),IN,77,דווייט וילסון,5,6,15,16,23,3,4,6,7,11,5,6,15,16,23,3,4,6,7,11
2,09:19,22-25,-3,00:41,-3,B(opp),IN,9,עמית ראובן,5,6,15,16,23,3,4,6,7,11,5,6,15,16,23,3,4,6,7,9
2,09:19,22-25,-3,00:41,-3,B(opp),OUT,7,רביב פיטשון,5,6,15,16,23,3,4,6,7,11,5,6,15,16,23,3,4,6,9,11
2,09:19,22-25,-3,00:41,-3,B(opp),OUT,4,שחר שלמון,5,6,15,16,23,3,4,6,7,11,5,6,15,16,23,3,6,9,11,77
2,07:35,22-28,-6,01:44,-3,B(opp),IN,32,בן גולד,5,6,15,16,23,3,6,9,11,77,5,6,15,16,23,3,6,9,11,32
2,07:35,22-28,-6,01:44,-3,B(opp),OUT,11,בר שינבוים,5,6,15,16,23,3,6,9,11,77,5,6,15,16,23,3,6,9,32,77
2,07:21,22-28,-6,00:14,0,A(ours),IN,9,עמרי שלף,5,6,15,16,23,3,6,9,32,77,5,6,9,15,16,3,6,9,32,77
2,07:21,22-28,-6,00:14,0,A(ours),OUT,23,נבו זומרפלד,5,6,15,16,23,3,6,9,32,77,5,6,9,15,16,3,6,9,32,77
2,06:37,27-28,-1,00:44,5,A(ours),IN,33,עילי שאול,5,6,9,15,16,3,6,9,32,77,5,6,9,15,16,3,6,9,32,77
2,06:37,27-28,-1,00:44,5,A(ours),IN,7,גל שטרנברג,5,6,9,15,16,3,6,9,32,77,5,6,7,9,15,3,6,9,32,77
2,06:37,27-28,-1,00:44,5,A(ours),OUT,16,אוהד דקל,5,6,9,15,16,3,6,9,32,77,5,6,7,9,15,3,6,9,32,77
2,06:37,27-28,-1,00:44,5,A(ours),OUT,15,יונתן קלר,5,6,9,15,16,3,6,9,32,77,5,6,7,9,33,3,6,9,32,77
2,04:13,34-37,-3,02:24,-2,B(opp),IN,4,שחר שלמון,5,6,7,9,33,3,6,9,32,77,5,6,7,9,33,3,4,6,9,32
2,04:13,34-37,-3,02:24,-2,B(opp),OUT,32,בן גולד,5,6,7,9,33,3,6,9,32,77,5,6,7,9,33,3,4,6,9,77
2,04:13,34-37,-3,02:24,-2,A(ours),IN,1,איתם כהן,5,6,7,9,33,3,6,9,32,77,1,5,6,7,9,3,4,6,9,77
2,04:13,34-37,-3,02:24,-2,A(ours),OUT,6,ים שפריר,5,6,7,9,33,3,6,9,32,77,1,5,7,9,33,3,4,6,9,77
2,03:31,34-39,-5,00:42,-2,B(opp),IN,21,נועם יעקובי,1,5,7,9,33,3,4,6,9,77,1,5,7,9,33,3,4,6,9,21
2,03:31,34-39,-5,00:42,-2,B(opp),OUT,9,עמית ראובן,1,5,7,9,33,3,4,6,9,77,1,5,7,9,33,3,4,6,21,77
2,03:14,34-40,-6,00:17,-1,B(opp),IN,7,רביב פיטשון,1,5,7,9,33,3,4,6,21,77,1,5,7,9,33,3,4,6,7,21
2,03:14,34-40,-6,00:17,-1,B(opp),OUT,6,אמרי שביט,1,5,7,9,33,3,4,6,21,77,1,5,7,9,33,3,4,7,21,77
2,02:49,34-40,-6,00:25,0,B(opp),IN,11,בר שינבוים,1,5,7,9,33,3,4,7,21,77,1,5,7,9,33,3,4,7,11,21
2,02:49,34-40,-6,00:25,0,B(opp),OUT,3,רוברט טרנר,1,5,7,9,33,3,4,7,21,77,1,5,7,9,33,4,7,11,21,77
2,02:02,36-42,-6,00:47,0,B(opp),IN,3,רוברט טרנר,1,5,7,9,33,4,7,11,21,77,1,5,7,9,33,3,4,7,11,21
2,02:02,36-42,-6,00:47,0,B(opp),OUT,21,נועם יעקובי,1,5,7,9,33,4,7,11,21,77,1,5,7,9,33,3,4,7,11,77
2,01:46,36-42,-6,00:16,0,B(opp),IN,9,עמית ראובן,1,5,7,9,33,3,4,7,11,77,1,5,7,9,33,3,4,7,9,11
2,01:46,36-42,-6,00:16,0,B(opp),OUT,4,שחר שלמון,1,5,7,9,33,3,4,7,11,77,1,5,7,9,33,3,7,9,11,77
2,00:54,41-42,-1,00:52,5,B(opp),IN,4,שחר שלמון,1,5,7,9,33,3,7,9,11,77,1,5,7,9,33,3,4,7,9,11
2,00:54,41-42,-1,00:52,5,B(opp),OUT,3,רוברט טרנר,1,5,7,9,33,3,7,9,11,77,1,5,7,9,33,4,7,9,11,77
2,00:54,41-42,-1,00:52,5,A(ours),IN,6,ים שפריר,1,5,7,9,33,3,7,9,11,77,1,5,6,7,9,4,7,9,11,77
2,00:54,41-42,-1,00:52,5,A(ours),OUT,1,איתם כהן,1,5,7,9,33,3,7,9,11,77,5,6,7,9,33,4,7,9,11,77
3,10:00,41-45,-4,00:00,0,B(opp),IN,6,אמרי שביט,5,6,7,9,33,4,7,9,11,77,5,6,7,9,33,4,6,7,9,11
3,10:00,41-45,-4,00:00,0,B(opp),IN,3,רוברט טרנר,5,6,7,9,33,4,7,9,11,77,5,6,7,9,33,3,4,6,7,9
3,10:00,41-45,-4,00:00,0,B(opp),OUT,11,בר שינבוים,5,6,7,9,33,4,7,9,11,77,5,6,7,9,33,3,4,6,7,9
3,10:00,41-45,-4,00:00,0,B(opp),OUT,4,שחר שלמון,5,6,7,9,33,4,7,9,11,77,5,6,7,9,33,3,6,7,9,77
3,10:00,41-45,-4,00:00,0,A(ours),IN,23,נבו זומרפלד,5,6,7,9,33,4,7,9,11,77,5,6,7,9,23,3,6,7,9,77
3,10:00,41-45,-4,00:00,0,A(ours),OUT,6,ים שפריר,5,6,7,9,33,4,7,9,11,77,5,7,9,23,33,3,6,7,9,77
3,08:08,42-48,-6,01:52,-2,B(opp),IN,21,נועם יעקובי,5,7,9,23,33,3,6,7,9,77,5,7,9,23,33,3,6,7,9,21
3,08:08,42-48,-6,01:52,-2,B(opp),OUT,9,עמית ראובן,5,7,9,23,33,3,6,7,9,77,5,7,9,23,33,3,6,7,21,77
3,06:43,42-50,-8,01:25,-2,B(opp),IN,32,בן גולד,5,7,9,23,33,3,6,7,21,77,5,7,9,23,33,3,6,7,21,32
3,06:43,42-50,-8,01:25,-2,B(opp),OUT,7,רביב פיטשון,5,7,9,23,33,3,6,7,21,77,5,7,9,23,33,3,6,21,32,77
3,04:15,42-53,-11,02:28,-3,A(ours),IN,16,אוהד דקל,5,7,9,23,33,3,6,21,32,77,5,7,9,16,23,3,6,21,32,77
3,04:15,42-53,-11,02:28,-3,A(ours),OUT,5,קינדל היל,5,7,9,23,33,3,6,21,32,77,7,9,16,23,33,3,6,21,32,77
3,04:15,42-53,-11,02:28,-3,B(opp),IN,9,עמית ראובן,5,7,9,23,33,3,6,21,32,77,7,9,16,23,33,3,6,9,21,32
3,04:15,42-53,-11,02:28,-3,B(opp),OUT,6,אמרי שביט,5,7,9,23,33,3,6,21,32,77,7,9,16,23,33,3,9,21,32,77
3,04:15,42-53,-11,02:28,-3,A(ours),IN,6,ים שפריר,5,7,9,23,33,3,6,21,32,77,6,7,9,16,23,3,9,21,32,77
3,04:15,42-53,-11,02:28,-3,A(ours),OUT,23,נבו זומרפלד,5,7,9,23,33,3,6,21,32,77,6,7,9,16,33,3,9,21,32,77
3,03:10,49-56,-7,01:05,4,A(ours),IN,15,יונתן קלר,6,7,9,16,33,3,9,21,32,77,6,7,9,15,16,3,9,21,32,77
3,03:10,49-56,-7,01:05,4,A(ours),OUT,33,עילי שאול,6,7,9,16,33,3,9,21,32,77,6,7,9,15,16,3,9,21,32,77
3,01:08,55-60,-5,02:02,2,A(ours),IN,5,קינדל היל,6,7,9,15,16,3,9,21,32,77,5,6,7,9,15,3,9,21,32,77
3,01:08,55-60,-5,02:02,2,A(ours),IN,1,איתם כהן,6,7,9,15,16,3,9,21,32,77,1,5,6,7,9,3,9,21,32,77
3,01:08,55-60,-5,02:02,2,A(ours),OUT,9,עמרי שלף,6,7,9,15,16,3,9,21,32,77,1,5,6,7,15,3,9,21,32,77
3,01:08,55-60,-5,02:02,2,A(ours),OUT,7,גל שטרנברג,6,7,9,15,16,3,9,21,32,77,1,5,6,15,16,3,9,21,32,77
4,10:00,57-60,-3,00:00,0,A(ours),IN,33,עילי שאול,1,5,6,15,16,3,9,21,32,77,1,5,6,15,16,3,9,21,32,77
4,10:00,57-60,-3,00:00,0,A(ours),OUT,1,איתם כהן,1,5,6,15,16,3,9,21,32,77,5,6,15,16,33,3,9,21,32,77
4,07:44,64-64,0,02:16,3,A(ours),IN,9,עמרי שלף,5,6,15,16,33,3,9,21,32,77,5,6,9,15,16,3,9,21,32,77
4,07:44,64-64,0,02:16,3,A(ours),OUT,16,אוהד דקל,5,6,15,16,33,3,9,21,32,77,5,6,9,15,33,3,9,21,32,77
4,06:41,66-65,1,01:03,1,A(ours),IN,7,גל שטרנברג,5,6,9,15,33,3,9,21,32,77,5,6,7,9,15,3,9,21,32,77
4,06:41,66-65,1,01:03,1,A(ours),OUT,15,יונתן קלר,5,6,9,15,33,3,9,21,32,77,5,6,7,9,33,3,9,21,32,77
4,06:26,66-69,-3,00:15,-4,B(opp),IN,6,אמרי שביט,5,6,7,9,33,3,9,21,32,77,5,6,7,9,33,3,6,9,21,32
4,06:26,66-69,-3,00:15,-4,B(opp),OUT,32,בן גולד,5,6,7,9,33,3,9,21,32,77,5,6,7,9,33,3,6,9,21,77
4,04:36,66-69,-3,01:50,0,B(opp),IN,32,בן גולד,5,6,7,9,33,3,6,9,21,77,5,6,7,9,33,3,6,9,21,32
4,04:36,66-69,-3,01:50,0,B(opp),OUT,77,דווייט וילסון,5,6,7,9,33,3,6,9,21,77,5,6,7,9,33,3,6,9,21,32
4,03:41,66-69,-3,00:55,0,B(opp),IN,77,דווייט וילסון,5,6,7,9,33,3,6,9,21,32,5,6,7,9,33,3,6,9,21,32
4,03:41,66-69,-3,00:55,0,B(opp),OUT,21,נועם יעקובי,5,6,7,9,33,3,6,9,21,32,5,6,7,9,33,3,6,9,32,77
4,02:50,69-71,-2,00:51,1,A(ours),IN,23,נבו זומרפלד,5,6,7,9,33,3,6,9,32,77,5,6,7,9,23,3,6,9,32,77
4,02:50,69-71,-2,00:51,1,A(ours),OUT,33,עילי שאול,5,6,7,9,33,3,6,9,32,77,5,6,7,9,23,3,6,9,32,77
4,01:15,75-78,-3,01:35,-1,B(opp),IN,11,בר שינבוים,5,6,7,9,23,3,6,9,32,77,5,6,7,9,23,3,6,9,11,32
4,01:15,75-78,-3,01:35,-1,B(opp),OUT,32,בן גולד,5,6,7,9,23,3,6,9,32,77,5,6,7,9,23,3,6,9,11,77
4,01:15,75-78,-3,01:35,-1,A(ours),IN,33,עילי שאול,5,6,7,9,23,3,6,9,32,77,5,6,7,9,23,3,6,9,11,77
4,01:15,75-78,-3,01:35,-1,A(ours),OUT,23,נבו זומרפלד,5,6,7,9,23,3,6,9,32,77,5,6,7,9,33,3,6,9,11,77
4,00:10,79-82,-3,01:05,0,B(opp),IN,4,שחר שלמון,5,6,7,9,33,3,6,9,11,77,5,6,7,9,33,3,4,6,9,11
4,00:10,79-82,-3,01:05,0,B(opp),OUT,77,דווייט וילסון,5,6,7,9,33,3,6,9,11,77,5,6,7,9,33,3,4,6,9,11
4,00:07,79-83,-4,00:03,-1,B(opp),IN,32,בן גולד,5,6,7,9,33,3,4,6,9,11,5,6,7,9,33,3,4,6,9,11
4,00:07,79-83,-4,00:03,-1,B(opp),OUT,6,אמרי שביט,5,6,7,9,33,3,4,6,9,11,5,6,7,9,33,3,4,9,11,32
4,00:07,79-83,-4,00:03,-1,B(opp),IN,77,דווייט וילסון,5,6,7,9,33,3,4,6,9,11,5,6,7,9,33,3,4,9,11,32
4,00:07,79-83,-4,00:03,-1,B(opp),OUT,11,בר שינבוים,5,6,7,9,33,3,4,6,9,11,5,6,7,9,33,3,4,9,32,77
4,00:04,80-83,-3,00:03,1,B(opp),IN,6,אמרי שביט,5,6,7,9,33,3,4,9,32,77,5,6,7,9,33,3,4,6,9,32
4,00:04,80-83,-3,00:03,1,B(opp),OUT,4,שחר שלמון,5,6,7,9,33,3,4,9,32,77,5,6,7,9,33,3,6,9,32,77
